#,NAMES,NAT,PPG,MPG,FGM,FGA,3PM,REB,AST,STL,BLK,TOV,EFF
1,James Harden,USA,36.1,36.8,10.8,24.5,378,6.6,7.5,2,0.7,5,33.1
2,Paul George,USA,28,36.9,9.2,21,292,8.2,4.1,2.2,0.4,2.7,27.4
3,Giannis Antetokounmpo,Greece,27.7,32.8,10,17.3,52,12.5,5.9,1.3,1.5,3.7,35.3
4,Joel Embiid,Cameroon,27.5,33.7,9.1,18.7,79,13.6,3.7,0.7,1.9,3.5,32.2
5,Stephen Curry,USA,27.3,33.8,9.2,19.4,354,5.3,5.2,1.3,0.4,2.8,26.1
6,Kawhi Leonard,USA,26.6,34,9.3,18.8,112,7.3,3.3,1.8,0.4,2,26.9
7,Devin Booker,USA,26.6,35,9.2,19.6,135,4.1,6.8,0.9,0.2,4.1,23
8,Kevin Durant,USA,26,34.6,9.2,17.7,137,6.4,5.9,0.7,1.1,2.9,27.9
9,Damian Lillard,USA,25.8,35.5,8.5,19.2,237,4.6,6.9,1.1,0.4,2.7,25
10,Kemba Walker,USA,25.6,34.9,8.9,20.5,260,4.4,5.9,1.2,0.4,2.6,22.5
11,Bradley Beal,USA,25.6,36.9,9.3,19.6,209,5,5.5,1.5,0.7,2.7,24.2
12,Blake Griffin,USA,24.5,35,8.3,17.9,189,7.5,5.4,0.7,0.4,3.4,23.7
13,Karl-Anthony Towns,USA,24.4,33.1,8.8,17.1,142,12.4,3.4,0.9,1.6,3.1,30.4
14,Kyrie Irving,USA,23.8,33,9,18.5,174,5,6.9,1.5,0.5,2.6,25.3
15,Donovan Mitchell,USA,23.8,33.7,8.6,19.9,188,4.1,4.2,1.4,0.4,2.8,18.7
16,Zach LaVine,USA,23.7,34.5,8.4,18,120,4.7,4.5,1,0.4,3.4,20.2
17,Russell Westbrook,USA,22.9,36,8.6,20.2,119,11.1,10.7,1.9,0.5,4.5,29
18,Klay Thompson,USA,21.5,34,8.4,18,241,3.8,2.4,1.1,0.6,1.5,18
19,Julius Randle,USA,21.4,30.6,7.8,14.9,67,8.7,3.1,0.7,0.6,2.8,22.8
20,LaMarcus Aldridge,USA,21.3,33.2,8.4,16.3,10,9.2,2.4,0.5,1.3,1.8,24.4
21,DeMar DeRozan,USA,21.2,34.9,8.2,17.1,7,6,6.2,1.1,0.5,2.6,22.6
22,Luka Doncic,Slovenia,21.2,32.2,7,16.5,168,7.8,6,1.1,0.3,3.4,21.6
23,Jrue Holiday,USA,21.2,35.9,8.2,17.3,118,5,7.7,1.6,0.8,3.1,23.1
24,D'Angelo Russell,USA,21.1,30.2,8.1,18.7,234,3.9,7,1.2,0.2,3.1,19.2
25,Mike Conley,USA,21.1,33.5,7,16,155,3.4,6.4,1.3,0.3,1.9,20.8
26,CJ McCollum,USA,21,33.9,8.2,17.8,167,4,3,0.8,0.4,1.5,17.6
27,Nikola Vucevic,Serbia,20.8,31.4,8.8,16.9,84,12,3.8,1,1.1,2,28
28,Buddy Hield,Bahamas,20.7,31.9,7.6,16.6,278,5,2.5,0.7,0.4,1.8,18.3
29,Nikola Jokic,Serbia,20.1,31.3,7.7,15.1,83,10.8,7.3,1.4,0.7,3.1,28.9
30,Tobias Harris,USA,20,34.7,7.5,15.3,156,7.9,2.8,0.6,0.5,1.8,21.6
31,Lou Williams,USA,20,26.6,6.5,15.2,105,3,5.4,0.8,0.1,2.4,17.3
32,Danilo Gallinari,Italy,19.8,30.3,6,13,161,6.1,2.6,0.7,0.3,1.5,20.6
33,John Collins,USA,19.5,30,7.6,13.6,55,9.8,2,0.4,0.6,2,23.2
34,Trae Young,USA,19.1,30.9,6.5,15.5,156,3.7,8.1,0.9,0.2,3.8,18.3
35,Jimmy Butler,USA,18.7,33.6,6.4,13.9,67,5.3,4,1.9,0.6,1.5,20.7
36,Kyle Kuzma,USA,18.7,33.1,7.1,15.5,128,5.5,2.5,0.6,0.4,1.9,16.4
37,Khris Middleton,USA,18.3,31.1,6.6,14.9,179,6,4.3,1,0.1,2.3,18.5
38,Jamal Murray, Canada,18.2,32.6,6.8,15.6,152,4.2,4.8,0.9,0.4,2.1,17.2
39,Andrew Wiggins,Canada,18.1,34.8,6.8,16.6,118,4.8,2.5,1,0.7,1.9,14.2
40,Tim Hardaway Jr.,USA,18.1,31.6,6,15.3,162,3.4,2.4,0.8,0.1,1.6,13.3
41,JJ Redick,USA,18.1,31.3,5.9,13.5,240,2.4,2.7,0.4,0.2,1.3,14.6
42,Bojan Bogdanovic,Serbia,18,31.8,6.4,13,164,4.1,2,0.9,0,1.7,16
43,Andre Drummond,USA,17.3,33.5,7.1,13.3,5,15.6,1.4,1.7,1.7,2.2,27.3
44,De'Aaron Fox,USA,17.3,31.4,6.2,13.6,86,3.8,7.3,1.6,0.6,2.8,18.9
45,Pascal Siakam,Cameroon,16.9,31.9,6.5,11.8,79,6.9,3.1,0.9,0.7,1.9,20.4
46,Ben Simmons,USA,16.9,34.2,6.8,12.2,0,8.8,7.7,1.4,0.8,3.5,24.7
47,Jordan Clarkson,USA,16.8,27.3,6.5,14.6,144,3.3,2.4,0.7,0.2,1.7,13.4
48,Spencer Dinwiddie,USA,16.8,28.1,5.4,12.2,124,2.4,4.6,0.6,0.3,2.2,14.6
49,Collin Sexton,USA,16.7,31.8,6.3,14.7,119,2.9,3,0.5,0.1,2.3,12
50,Clint Capela,Switzerland,16.6,33.6,7.1,10.9,0,12.7,1.4,0.7,1.5,1.4,26.2
